detail_id,hotel_id,hotel,category,board,price,signal,strength,probability,velocity_3h,acceleration,drop_freq,consec_drops,expected_drop_pct,days_to_checkin
39801,24982,Hilton Miami Downtown,Suite,Ro,254.52,STRONG_PUT,10,1.0,-25.923333333333332,-1.0,1.0,3,-25.923333333333332,101
39116,24982,Hilton Miami Downtown,Suite,Ro,1144.95,STRONG_PUT,10,1.0,-25.923333333333332,-1.0,1.0,3,-25.923333333333332,101
39351,24982,Hilton Miami Downtown,Suite,Ro,1144.86,STRONG_PUT,10,1.0,-25.923333333333332,-1.0,1.0,3,-25.923333333333332,101
39622,24982,Hilton Miami Downtown,Suite,Ro,1144.16,STRONG_PUT,10,1.0,-25.923333333333332,-1.0,1.0,3,-25.923333333333332,101
39825,24982,Hilton Miami Downtown,Suite,Ro,254.53,STRONG_PUT,10,1.0,-19.4325,-1.0,1.0,3,-19.4325,107
39798,24982,Hilton Miami Downtown,Suite,Ro,1138.1,STRONG_PUT,10,1.0,-19.4325,-1.0,1.0,3,-19.4325,107
39089,24982,Hilton Miami Downtown,Suite,Ro,1142.71,STRONG_PUT,10,1.0,-19.4325,-1.0,1.0,3,-19.4325,107
39117,24982,Hilton Miami Downtown,Suite,Ro,1142.71,STRONG_PUT,10,1.0,-19.4325,-1.0,1.0,3,-19.4325,107
39657,24982,Hilton Miami Downtown,Suite,Ro,1141.93,STRONG_PUT,10,1.0,-19.4325,-1.0,1.0,3,-19.4325,107
38889,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,368.76,STRONG_PUT,10,1.0,-15.729999999999999,-1.0,1.0,3,-15.729999999999999,53
39031,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,349.95,STRONG_PUT,10,1.0,-15.729999999999999,-1.0,1.0,3,-15.729999999999999,53
39376,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,348.12,STRONG_PUT,10,1.0,-15.729999999999999,-1.0,1.0,3,-15.729999999999999,53
39888,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,194.76,STRONG_PUT,10,1.0,-15.729999999999999,-1.0,1.0,3,-15.729999999999999,53
39772,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,199.65,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
39099,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,425.79,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
39377,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,394.57,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
39018,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,390.54,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
39634,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,386.72,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
38901,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,379.77,STRONG_PUT,10,1.0,-9.486,-1.0,0.6,3,-9.486,60
42921,24982,Hilton Miami Downtown,Suite,Ro,408.98,STRONG_PUT,10,1.0,-7.805,-1.0,1.0,2,-7.805,36
39807,66814,Breakwater South Beach,Deluxe,Ro,509.33,STRONG_PUT,10,1.0,-5.5875,-1.0,0.75,3,-5.5875,47
39875,66814,Breakwater South Beach,Deluxe,Ro,509.33,STRONG_PUT,10,1.0,-5.5875,-1.0,0.75,3,-5.5875,47
39848,66814,Breakwater South Beach,Deluxe,Ro,593.21,STRONG_PUT,10,1.0,-5.5875,-1.0,0.75,3,-5.5875,47
39662,66814,Breakwater South Beach,Deluxe,Ro,624.94,STRONG_PUT,10,1.0,-5.5875,-1.0,0.75,3,-5.5875,47
42134,66814,Breakwater South Beach,Deluxe,Ro,485.27,STRONG_PUT,10,1.0,-5.5875,-1.0,0.75,3,-5.5875,47
39819,24982,Hilton Miami Downtown,Suite,Ro,254.53,STRONG_PUT,9,0.95,-38.875,-1.0,1.0,2,-38.875,98
39350,24982,Hilton Miami Downtown,Suite,Ro,1143.75,STRONG_PUT,9,0.95,-38.875,-1.0,1.0,2,-38.875,98
39771,24982,Hilton Miami Downtown,Suite,Ro,1137.34,STRONG_PUT,9,0.95,-38.875,-1.0,1.0,2,-38.875,98
39037,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,291.57,STRONG_PUT,9,0.95,-30.31,-1.0,1.0,2,-30.31,96
39006,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,460.37,STRONG_PUT,9,0.95,-30.31,-1.0,1.0,2,-30.31,96
38961,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,740.46,STRONG_PUT,9,0.95,-30.31,-1.0,1.0,2,-30.31,96
39005,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,353.23,STRONG_PUT,9,0.95,-25.76,-1.0,1.0,2,-25.76,90
38983,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,727.8,STRONG_PUT,9,0.95,-25.76,-1.0,1.0,2,-25.76,90
38956,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,728.65,STRONG_PUT,9,0.95,-25.76,-1.0,1.0,2,-25.76,90
39843,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,233.95,STRONG_PUT,9,0.95,-22.78,-1.0,1.0,2,-22.78,68
39773,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,428.01,STRONG_PUT,9,0.95,-22.78,-1.0,1.0,2,-22.78,68
38916,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,429.74,STRONG_PUT,9,0.95,-22.78,-1.0,1.0,2,-22.78,68
39815,24982,Hilton Miami Downtown,Suite,Ro,254.53,STRONG_PUT,9,0.95,-17.2675,-1.0,0.6666666666666666,2,-17.2675,94
39030,24982,Hilton Miami Downtown,Suite,Ro,822.94,STRONG_PUT,9,0.95,-17.2675,-1.0,0.6666666666666666,2,-17.2675,94
39077,24982,Hilton Miami Downtown,Suite,Ro,824.05,STRONG_PUT,9,0.95,-17.2675,-1.0,0.6666666666666666,2,-17.2675,94
39349,24982,Hilton Miami Downtown,Suite,Ro,823.68,STRONG_PUT,9,0.95,-17.2675,-1.0,0.6666666666666666,2,-17.2675,94
39415,24982,Hilton Miami Downtown,Suite,Ro,823.68,STRONG_PUT,9,0.95,-17.2675,-1.0,0.6666666666666666,2,-17.2675,94
41909,24982,Hilton Miami Downtown,Suite,Ro,345.63,STRONG_PUT,9,0.95,-17.055,-1.0,1.0,2,-17.055,65
39210,24982,Hilton Miami Downtown,Suite,Ro,398.94,STRONG_PUT,9,0.95,-17.055,-1.0,1.0,2,-17.055,65
39045,24982,Hilton Miami Downtown,Suite,Ro,524.52,STRONG_PUT,9,0.95,-17.055,-1.0,1.0,2,-17.055,65
41889,852120,SLS LUX Brickell,Suite,Ro,685.09,STRONG_PUT,9,0.95,-13.685,-1.0,1.0,2,-13.685,44
41608,852120,SLS LUX Brickell,Suite,Ro,935.8,STRONG_PUT,9,0.95,-13.685,-1.0,1.0,2,-13.685,44
41455,852120,SLS LUX Brickell,Suite,Ro,943.31,STRONG_PUT,9,0.95,-13.685,-1.0,1.0,2,-13.685,44
41910,24982,Hilton Miami Downtown,Standard,Ro,283.95,STRONG_PUT,9,0.95,-12.81,-1.0,1.0,3,-12.81,65
39770,24982,Hilton Miami Downtown,Standard,Ro,362.43,STRONG_PUT,9,0.95,-12.81,-1.0,1.0,3,-12.81,65
39211,24982,Hilton Miami Downtown,Standard,Ro,392.55,STRONG_PUT,9,0.95,-12.81,-1.0,1.0,3,-12.81,65
39044,24982,Hilton Miami Downtown,Standard,Ro,461.15,STRONG_PUT,9,0.95,-12.81,-1.0,1.0,3,-12.81,65
40724,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,337.96,STRONG_PUT,9,0.95,-10.796666666666667,-1.0,0.6666666666666666,2,-10.796666666666667,93
39019,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,492.08,STRONG_PUT,9,0.95,-10.796666666666667,-1.0,0.6666666666666666,2,-10.796666666666667,93
39919,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,493.2,STRONG_PUT,9,0.95,-10.796666666666667,-1.0,0.6666666666666666,2,-10.796666666666667,93
38959,20702,Embassy Suites by Hilton Miami International Airport,Suite,Ro,499.86,STRONG_PUT,9,0.95,-10.796666666666667,-1.0,0.6666666666666666,2,-10.796666666666667,93
40745,66814,Breakwater South Beach,Superior,Ro,180.9,STRONG_PUT,9,0.95,-10.07,-1.0,0.75,3,-10.07,85
39810,66814,Breakwater South Beach,Superior,Ro,205.5,STRONG_PUT,9,0.95,-10.07,-1.0,0.75,3,-10.07,85
39529,66814,Breakwater South Beach,Superior,Ro,210.3,STRONG_PUT,9,0.95,-10.07,-1.0,0.75,3,-10.07,85
39797,66814,Breakwater South Beach,Superior,Ro,211.99,STRONG_PUT,9,0.95,-10.07,-1.0,0.75,3,-10.07,85
39447,66814,Breakwater South Beach,Superior,Ro,302.93,STRONG_PUT,9,0.95,-10.07,-1.0,0.75,3,-10.07,85
39614,66814,Breakwater South Beach,Superior,Ro,175.99,STRONG_PUT,9,0.95,-9.9225,-1.0,0.75,3,-9.9225,78
39390,66814,Breakwater South Beach,Superior,Ro,218.85,STRONG_PUT,9,0.95,-9.9225,-1.0,0.75,3,-9.9225,78
39584,66814,Breakwater South Beach,Superior,Ro,290.73,STRONG_PUT,9,0.95,-9.9225,-1.0,0.75,3,-9.9225,78
39204,66814,Breakwater South Beach,Superior,Ro,291.8,STRONG_PUT,9,0.95,-9.9225,-1.0,0.75,3,-9.9225,78
39545,66814,Breakwater South Beach,Superior,Ro,291.91,STRONG_PUT,9,0.95,-9.9225,-1.0,0.75,3,-9.9225,78
39094,24982,Hilton Miami Downtown,Suite,Ro,484.62,STRONG_PUT,9,0.95,-7.805,-1.0,1.0,2,-7.805,36
39344,24982,Hilton Miami Downtown,Suite,Ro,484.58,STRONG_PUT,9,0.95,-7.805,-1.0,1.0,2,-7.805,36
41482,852120,SLS LUX Brickell,Suite,Ro,604.09,STRONG_PUT,9,0.95,-6.91,-1.0,1.0,2,-6.91,77
41625,852120,SLS LUX Brickell,Suite,Ro,599.28,STRONG_PUT,9,0.95,-6.91,-1.0,1.0,2,-6.91,77
41971,852120,SLS LUX Brickell,Suite,Ro,520.58,STRONG_PUT,9,0.95,-6.91,-1.0,1.0,2,-6.91,77
41982,852120,SLS LUX Brickell,Suite,Ro,520.58,STRONG_PUT,9,0.95,-6.85,-1.0,1.0,2,-6.85,85
41632,852120,SLS LUX Brickell,Suite,Ro,587.76,STRONG_PUT,9,0.95,-6.85,-1.0,1.0,2,-6.85,85
41495,852120,SLS LUX Brickell,Suite,Ro,603.23,STRONG_PUT,9,0.95,-6.85,-1.0,1.0,2,-6.85,85
41532,852120,SLS LUX Brickell,Suite,Ro,602.37,STRONG_PUT,9,0.95,-6.79,-1.0,1.0,2,-6.79,78
41626,852120,SLS LUX Brickell,Suite,Ro,599.28,STRONG_PUT,9,0.95,-6.79,-1.0,1.0,2,-6.79,78
41972,852120,SLS LUX Brickell,Suite,Ro,520.58,STRONG_PUT,9,0.95,-6.79,-1.0,1.0,2,-6.79,78
42082,20702,Embassy Suites by Hilton Miami International Airport,Suite,Bb,443.15,STRONG_PUT,9,0.95,-6.475,-1.0,1.0,1,-6.475,46
41892,852120,SLS LUX Brickell,Suite,Ro,558.52,STRONG_PUT,9,0.95,-6.1499999999999995,-1.0,0.6666666666666666,2,-6.1499999999999995,81
41629,852120,SLS LUX Brickell,Suite,Ro,682.25,STRONG_PUT,9,0.95,-6.1499999999999995,-1.0,0.6666666666666666,2,-6.1499999999999995,81
41487,852120,SLS LUX Brickell,Suite,Ro,684.85,STRONG_PUT,9,0.95,-6.1499999999999995,-1.0,0.6666666666666666,2,-6.1499999999999995,81
41763,852120,SLS LUX Brickell,Suite,Ro,685.12,STRONG_PUT,9,0.95,-6.1499999999999995,-1.0,0.6666666666666666,2,-6.1499999999999995,81
